Wavelength	1mm_blackPC00000.asd
813	 40.5785122944823 
814	 39.7727599619924 
815	 41.0316693598238 
816	 42.2908465379801 
817	 41.8994905978352 
818	 39.6288947779568 
819	 39.0346968554889 
820	 39.7651930665352 
821	 38.8840731784628 
822	 40.4197363267815 
823	 41.404893464844 
824	 39.3254057094051 
825	 40.4735021959513 
826	 42.0109367390403 
827	 42.040274662935 
828	 40.1058857028095 
829	 40.2976312753501 
830	 41.1223155982512 
831	 39.2973384040153 
832	 39.1424070402678 
833	 39.6892212271498 
834	 39.9198467098797 
835	 40.7177912243573 
836	 40.3127834143795 
837	 39.3413043138462 
838	 40.3491438008873 
839	 40.3889181142421 
840	 39.9094057398755 
841	 39.8723816729078 
842	 39.3786313399956 
843	 39.1412617025396 
844	 39.4756592904545 
845	 40.0410576673417 
846	 40.7188277931943 
847	 40.8262540673535 
848	 39.7351178887969 
849	 39.6403534601818 
850	 39.3497345101767 
851	 38.172868150024 
852	 37.7164393536419 
853	 38.1434912258344 
854	 39.2788936693645 
855	 40.578032312429 
856	 40.5656175493212 
857	 39.5193756204708 
858	 38.3193161637231 
859	 38.2229891120881 
860	 38.3834538699693 
861	 38.7574904997316 
862	 40.5740351174842 
863	 39.1351213045256 
864	 36.6289874123473 
865	 36.9720633009022 
866	 37.2417688401092 
867	 38.00790116111 
868	 39.0226956298448 
869	 37.4167133129333 
870	 37.4718083030551 
871	 38.6268644975503 
872	 38.0671202058729 
873	 38.4305176293727 
874	 38.391433268424 
875	 37.1796994488584 
876	 37.3475870888841 
877	 37.6331443246848 
878	 37.3960322945917 
879	 36.503579964756 
880	 36.5097281833745 
881	 37.0321102525496 
882	 37.3981160223952 
883	 37.9527496504543 
884	 37.6918341794107 
885	 36.8383727698097 
886	 37.1100343746047 
887	 36.2064768951819 
888	 35.1028294027135 
889	 35.24746423936 
890	 34.6436034989974 
891	 34.5952268369966 
892	 35.1629835329027 
893	 33.9465095822426 
894	 34.6368476919678 
895	 36.2264676536017 
896	 36.0073148590833 
897	 33.546940637546 
898	 32.151554137654 
899	 33.304558095736 
900	 34.348335667761 
901	 34.9923207580608 
902	 34.8294427795251 
903	 33.818662660765 
904	 34.7415027304675 
905	 35.4242095657281 
906	 34.4688322564214 
907	 33.7893492731112 
908	 33.7609317676376 
909	 34.1760763745827 
910	 34.351727180395 
911	 33.5557250067212 
912	 32.4204079262588 
913	 31.6821679259669 
914	 31.6779905777263 
915	 32.2922338429802 
916	 32.944239749713 
917	 32.7219876977162 
918	 31.0368534439003 
919	 30.3273797059377 
920	 31.6914068085924 
921	 30.5039246823908 
922	 31.0671045441655 
923	 32.6052358511122 
924	 30.8654063780979 
925	 29.5021736055785 
926	 28.6148656252251 
927	 28.1344311454776 
928	 29.8457174818018 
929	 30.5436531272129 
930	 30.0267156303437 
931	 30.2746807050343 
932	 29.4526587322666 
933	 28.253899859419 
934	 27.7424768288023 
935	 28.834372720803 
936	 29.3665727418935 
937	 29.0990642930717 
938	 29.1287344103565 
939	 28.3411887139323 
940	 26.9305540012316 
941	 25.7141812750418 
942	 26.7722170507093 
943	 27.1150631585511 
944	 26.6851665278722 
945	 27.1703296999594 
946	 26.6393702528642 
947	 25.8104243335445 
948	 25.4914383603969 
949	 25.8744322091574 
950	 24.8690187309723 
951	 23.5288978802613 
952	 24.2619723430483 
953	 23.7929353561614 
954	 23.5401648940717 
955	 24.2647649053515 
956	 23.9338538953785 
957	 25.0046015448444 
958	 25.9604065769329 
959	 24.1139448300753 
960	 21.7497341607171 
961	 20.7034455506541 
962	 21.4556000999797 
963	 22.510372348474 
964	 23.3117978236229 
965	 23.5373369184035 
966	 36.5996720564484 
967	 35.555266831824 
968	 35.2604357768661 
969	 36.8073730094622 
970	 37.5706218138222 
971	 38.8132759488352 
972	 43.5194515401883 
973	 45.6826887092044 
974	 44.8287221261903 
975	 45.8722885156392 
976	 47.7264891473223 
977	 51.17577475288 
978	 50.8387587807309 
979	 50.7667896403815 
980	 50.8486289414216 
981	 50.6464336095175 
982	 52.2190411744216 
983	 52.623101660801 
984	 52.7194004897396 
985	 52.3755548218841 
986	 52.9154504478939 
987	 53.7554571616172 
988	 55.157031722709 
989	 58.4833013389209 
990	 59.2900305747024 
991	 58.9071410649433 
992	 59.0255124325751 
993	 57.5562220366136 
994	 56.9328616643978 
995	 60.1178933661488 
996	 62.9673847789869 
997	 66.9644182387858 
998	 68.3326908365729 
999	 65.0091985873835 
1000	 62.6359658498355 
1001	 61.0993222093457 
1002	 61.8025665042846 
1003	 65.899210902219 
1004	 66.8001030756948 
1005	 68.5411486129396 
1006	 72.3888736139829 
1007	 73.328829615719 
1008	 71.6125113794273 
1009	 71.8351786875455 
1010	 73.3382062675001 
1011	 72.5969091821524 
1012	 76.6571303740365 
1013	 83.0479810889774 
1014	 86.9185946561554 
1015	 84.403129064933 
1016	 80.9977290649634 
1017	 78.9575187562045 
1018	 74.1253397807729 
1019	 75.2743899469325 
1020	 78.0285240981497 
1021	 79.0928923972254 
1022	 84.346553435543 
1023	 86.09475705456 
1024	 86.1056982280691 
1025	 84.6744980139057 
1026	 85.2617958869356 
1027	 83.0966027089532 
1028	 82.6874143871567 
1029	 84.5725270630081 
1030	 87.1427882923609 
1031	 90.8141362994197 
1032	 90.55146302006 
1033	 92.3711262859003 
1034	 95.2392454193987 
1035	 92.8173538635772 
1036	 96.4432821285871 
1037	 99.1708176595686 
1038	 96.295054717457 
1039	 97.4838093872246 
1040	 98.3198973166552 
1041	 100.150828609099 
1042	 101.01200067812 
1043	 102.921793076394 
1044	 100.73399131267 
1045	 99.2527433840149 
1046	 97.9049433395498 
1047	 98.467503892927 
1048	 101.840378110005 
1049	 105.258197826144 
1050	 105.498286495916 
1051	 103.40511990233 
1052	 101.861260473865 
1053	 98.6999554451466 
1054	 98.3837398042324 
1055	 100.770187631347 
1056	 100.441597282095 
1057	 102.270928135 
1058	 107.311277384606 
1059	 109.593950513964 
1060	 111.210424934605 
1061	 112.662615228166 
1062	 113.497801155023 
1063	 112.737189453339 
1064	 113.724329713065 
1065	 114.823702646641 
1066	 114.900191658436 
1067	 114.525899296996 
1068	 114.246690502396 
1069	 114.469183346359 
1070	 112.914235731408 
1071	 114.314206277997 
1072	 115.846378838673 
